Spectrum	In stats.	X (mm)	Y (mm)	O	Si	Ru	Pd	Ag	Ta	Ir	Pt
Spectrum 1 {121}	Yes	45.028	-18.716	2.85	54.91	6.11	14.63	4.48	1.37	8.64	7.02

--	--	-44.959	-14.22	--	--	--	--	--	--	--	--

Spectrum 1 {122}	Yes	-40.459	-14.22	3.08	55.2	14.85	5.1	8.53	1.75	7.42	4.07

Spectrum 1 {123}	Yes	-35.96	-14.22	4.67	53.55	13.98	5.66	8.51	1.92	7.66	4.04

Spectrum 1 {124}	Yes	-31.46	-14.22	4.08	54.12	13.55	5.69	8.19	2.04	7.94	4.4

Spectrum 1 {125}	Yes	-26.962	-14.22	4.31	54.16	12.83	6.22	8.14	1.61	8.25	4.47

Spectrum 1 {126}	Yes	-22.46	-14.22	3.91	54.2	12.38	6.57	8.22	1.67	8.29	4.77

Spectrum 1 {127}	Yes	-17.96	-14.22	3.68	53.56	11.94	6.82	8.06	2.3	8.7	4.94

Spectrum 1 {128}	Yes	-13.46	-14.22	0	55.7	11.9	7.73	8.22	2	9.23	5.23

Spectrum 1 {129}	Yes	-8.959	-14.22	4.05	53.09	10.89	7.95	7.62	2.12	9.08	5.21

Spectrum 1 {130}	Yes	-4.459	-14.22	3.99	52.74	10.51	8.71	7.33	2.32	8.99	5.43

Spectrum 1 {131}	Yes	0.03	-14.22	4.39	53.35	9.83	8.71	7.11	1.85	9.22	5.56

Spectrum 1 {132}	Yes	4.528	-14.22	3.79	52.8	9.54	9.53	7.09	2.15	9.33	5.78

Spectrum 1 {133}	Yes	9.028	-14.22	2.9	53.64	9.02	9.96	6.97	2.12	9.31	6.07

Spectrum 1 {134}	Yes	13.529	-14.22	2.43	54.16	8.78	10.65	6.46	1.81	9.41	6.3

Spectrum 1 {135}	Yes	18.029	-14.22	2.5	54.43	8.31	11.12	6.25	1.62	9.46	6.31

Spectrum 1 {136}	Yes	22.53	-14.22	3.22	53.42	7.67	11.74	6.24	1.99	9.16	6.56

Spectrum 1 {137}	Yes	27.028	-14.22	2.96	53.77	7.44	12.29	5.97	1.67	9.29	6.61

Spectrum 1 {138}	Yes	31.53	-14.22	0	55.8	7.22	13.5	5.66	1.35	9.25	7.23

Spectrum 1 {139}	Yes	36.028	-14.22	3.3	53.45	6.74	13.41	5.37	1.65	9.05	7.02

Spectrum 1 {140}	Yes	40.53	-14.22	3.42	54.26	6.17	13.91	5.18	1.39	8.36	7.31

Spectrum 1 {141}	Yes	45.03	-14.22	3.31	54.34	6.07	14.62	4.7	1.47	8.15	7.34

--	--	-44.959	-9.715	--	--	--	--	--	--	--	--

Spectrum 1 {142}	Yes	-40.459	-9.715	4.34	53.89	14.05	5.15	9.41	1.88	7.05	4.23

Spectrum 1 {143}	Yes	-35.961	-9.715	4.74	53.38	13.68	5.4	9.41	1.98	7.24	4.17

Spectrum 1 {144}	Yes	-31.46	-9.715	3.03	54.45	13.52	5.75	9.19	1.91	7.54	4.62

Spectrum 1 {145}	Yes	-26.961	-9.715	3.11	54.47	12.85	6.42	8.92	1.75	7.84	4.64

Spectrum 1 {146}	Yes	-22.461	-9.715	3.95	53.56	12.45	6.37	8.55	2.17	7.99	4.96

Spectrum 1 {147}	Yes	-17.958	-9.715	4.75	52.72	11.67	7	8.48	2.08	8.06	5.23

Spectrum 1 {148}	Yes	-13.459	-9.715	3.08	54.06	11.6	7.29	8.28	1.95	8.47	5.26

Spectrum 1 {149}	Yes	-8.959	-9.715	4.21	53.12	10.69	7.69	8.2	2.13	8.45	5.52

Spectrum 1 {150}	Yes	-4.459	-9.715	2.74	53.8	10.25	8.78	7.67	2.05	8.81	5.91

Spectrum 1 {151}	Yes	0.03	-9.715	3.53	53.45	9.76	8.61	7.78	2.15	8.85	5.87

Spectrum 1 {152}	Yes	4.529	-9.715	2.67	54.31	9.38	9.25	7.38	1.76	9.13	6.13

Spectrum 1 {153}	Yes	9.029	-9.715	4.14	53.08	9.06	9.73	7.04	1.95	8.79	6.22

Spectrum 1 {154}	Yes	13.53	-9.715	2.56	53.52	8.58	10.21	7.17	2.22	9.13	6.61

Spectrum 1 {155}	Yes	18.029	-9.715	3.26	53.45	7.95	11.1	6.64	2.02	8.94	6.64

Spectrum 1 {156}	Yes	22.531	-9.715	2.45	53.98	7.83	11.77	6.41	1.9	8.79	6.87

Spectrum 1 {157}	Yes	27.028	-9.715	3.43	53.32	7.4	12.33	6.22	1.62	8.5	7.19

Spectrum 1 {158}	Yes	31.529	-9.715	3.66	52.72	6.99	12.74	6.07	2.03	8.54	7.25

Spectrum 1 {159}	Yes	36.028	-9.715	3.87	53.21	6.39	13.59	5.54	1.71	8.35	7.34

Spectrum 1 {160}	Yes	40.528	-9.715	3.37	54.15	6.38	13.64	5.29	1.45	8.19	7.54

Spectrum 1 {161}	Yes	45.029	-9.715	3.33	54.61	5.92	14.3	5.19	1.24	7.88	7.53

--	--	-44.959	-5.219	--	--	--	--	--	--	--	--

Spectrum 1 {162}	Yes	-40.457	-5.219	4.18	53.66	14.01	5.24	10.12	1.85	6.65	4.29

Spectrum 1 {163}	Yes	-35.961	-5.219	4.36	53.52	13.65	5.45	9.85	1.81	6.9	4.47

Spectrum 1 {164}	Yes	-31.459	-5.219	5.18	52.6	13.05	5.68	9.67	2.09	7.13	4.6

Spectrum 1 {165}	Yes	-26.961	-5.219	3.95	53.66	12.58	6.28	9.47	1.81	7.28	4.97

Spectrum 1 {166}	Yes	-22.461	-5.219	4.55	53.28	12.1	6.59	9.16	1.83	7.43	5.05

Spectrum 1 {167}	Yes	-17.961	-5.219	4.97	52.75	11.55	6.96	8.92	1.88	7.73	5.24

Spectrum 1 {168}	Yes	-13.46	-5.219	3.88	53.01	11.3	7.2	8.79	2.26	8.03	5.51

Spectrum 1 {169}	Yes	-8.96	-5.219	3.2	53.19	10.67	7.62	8.87	2.34	8.4	5.71

Spectrum 1 {170}	Yes	-4.46	-5.219	3.95	53.11	10.11	8.19	8.26	2.21	8.14	6.04

Spectrum 1 {171}	Yes	0.03	-5.219	5.21	52.64	9.48	8.44	8.03	1.9	8.24	6.06

Spectrum 1 {172}	Yes	4.529	-5.219	4.32	52.86	9.45	8.92	8.01	1.76	8.29	6.39

